t,actual,regular
320,0.69,0.69
321,0.69,0.69
322,0.69,0.69
323,0.69,0.69
324,0.69,0.69
325,0.69,0.69
326,0.69,0.69
327,0.69,0.69
328,0.69,0.69
329,0.69,0.69
330,0.69,0.69
331,0.69,0.69
332,0.69,0.69
333,0.69,0.69
334,0.69,0.69
335,0.69,0.69
336,0.69,0.69
337,0.69,0.69
338,0.69,0.69
339,0.69,0.69
340,0.69,0.69
341,0.69,0.69
342,0.69,0.69
343,0.69,0.69
344,0.69,0.69
345,0.69,0.69
346,0.69,0.69
347,0.69,0.69
348,0.69,0.69
349,0.69,0.69
350,0.69,0.69
351,0.69,0.69
352,0.69,0.69
353,0.69,0.69
354,0.69,0.69
355,0.69,0.69
356,0.69,0.69
357,0.69,0.69
358,0.69,0.69
359,0.69,0.69
360,0.69,0.69
361,0.69,0.69
362,0.69,0.69
363,0.69,0.69
364,0.69,0.69
365,0.69,0.69
366,0.69,0.69
367,0.69,0.69
368,0.69,0.69
369,0.69,0.69
370,0.69,0.69
371,0.69,0.69
372,0.69,0.69
373,0.69,0.69
374,0.69,0.69
375,0.69,0.69
376,0.69,0.69
377,0.69,0.69
378,0.69,0.69
379,0.69,0.69
380,0.69,0.69
381,0.69,0.69
382,0.69,0.69
383,0.69,0.69
384,0.69,0.69
385,0.69,0.69
386,0.69,0.69
387,0.69,0.69
388,0.69,0.69
389,0.69,0.69
390,0.69,0.69
391,0.69,0.69
392,0.69,0.69
393,0.69,0.69
394,0.69,0.69
395,0.69,0.69
396,0.69,0.69
397,0.69,0.69
398,0.69,0.69
399,0.69,0.69
400,0.69,0.69
401,0.69,0.69
402,0.69,0.69
403,0.69,0.69
404,0.69,0.69
405,0.69,0.69
406,0.69,0.69
407,0.69,0.69
408,0.69,0.69
409,0.69,0.69
410,0.69,0.69
411,0.69,0.69
412,0.69,0.69
413,0.69,0.69
414,0.69,0.69
415,0.69,0.69
416,0.69,0.69
417,0.69,0.69
418,0.69,0.69
419,0.69,0.69
420,0.69,0.69
421,0.69,0.69
422,0.69,0.69
423,0.69,0.69
424,0.69,0.69
425,0.69,0.69
426,0.69,0.69
427,0.69,0.69
428,0.75,0.75
429,0.75,0.75
430,0.75,0.75
431,0.75,0.75
432,0.75,0.75
433,0.75,0.75
434,0.75,0.75
435,0.75,0.75
436,0.75,0.75
437,0.75,0.75
438,0.75,0.75
439,0.75,0.75
440,0.75,0.75
441,0.75,0.75
442,0.75,0.75
443,0.75,0.75
444,0.75,0.75
445,0.75,0.75
446,0.75,0.75
447,0.75,0.75
448,0.75,0.75
449,0.75,0.75
450,0.75,0.75
451,0.75,0.75
452,0.75,0.75
453,0.75,0.75
454,0.75,0.75
455,0.75,0.75
456,0.69,0.69
457,0.69,0.69
458,0.69,0.69
459,0.69,0.69
460,0.69,0.69
461,0.69,0.69
462,0.69,0.69
463,0.69,0.69
464,0.69,0.69
465,0.69,0.69
466,0.69,0.69
467,0.69,0.69
