t,actual,regular
1,0.58999968,0.64999962
2,0.58999968,0.64999962
3,0.58999968,0.64999962
4,0.58999968,0.64999962
5,0.58999968,0.64999962
6,0.58999968,0.64999962
7,0.58999968,0.64999962
8,0.58999968,0.64999962
9,0.58999968,0.64999962
10,0.58999968,0.64999962
11,0.58999968,0.64999962
12,0.58999968,0.64999962
13,0.58999968,0.64999962
14,0.58999968,0.64999962
15,0.69999981,0.69999981
16,0.69999981,0.69999981
17,0.69999981,0.69999981
18,0.69999981,0.69999981
19,0.69999981,0.69999981
20,0.69999981,0.69999981
21,0.69999981,0.69999981
22,0.69999981,0.69999981
23,0.69999981,0.69999981
24,0.69999981,0.69999981
25,0.69999981,0.69999981
26,0.69999981,0.69999981
27,0.69999981,0.69999981
28,0.69999981,0.69999981
29,0.69999981,0.69999981
30,0.69999981,0.69999981
31,0.69999981,0.69999981
32,0.69999981,0.69999981
33,0.69999981,0.69999981
34,0.69999981,0.69999981
35,0.69999981,0.69999981
36,0.69999981,0.69999981
37,0.69999981,0.69999981
38,0.69999981,0.69999981
39,0.69999981,0.69999981
40,0.69999981,0.69999981
41,0.69999981,0.69999981
42,0.69999981,0.69999981
43,0.58999968,0.58999968
44,0.58999968,0.58999968
45,0.58999968,0.58999968
46,0.58999968,0.58999968
47,0.58999968,0.58999968
48,0.58999968,0.58999968
49,0.58999968,0.58999968
50,0.58999968,0.58999968
51,0.58999968,0.58999968
52,0.58999968,0.58999968
53,0.58999968,0.58999968
54,0.58999968,0.58999968
55,0.58999968,0.58999968
56,0.58999968,0.58999968
57,0.58999968,0.58999968
58,0.58999968,0.58999968
59,0.58999968,0.58999968
60,0.58999968,0.58999968
61,0.58999968,0.58999968
62,0.58999968,0.58999968
63,0.58999968,0.58999968
64,0.58999968,0.58999968
65,0.58999968,0.58999968
66,0.58999968,0.58999968
67,0.58999968,0.58999968
68,0.58999968,0.58999968
69,0.58999968,0.58999968
70,0.58999968,0.58999968
71,0.58999968,0.58999968
72,0.58999968,0.58999968
73,0.58999968,0.58999968
74,0.58999968,0.58999968
75,0.58999968,0.58999968
76,0.58999968,0.58999968
77,0.58999968,0.58999968
78,0.58999968,0.58999968
79,0.58999968,0.58999968
80,0.58999968,0.58999968
81,0.58999968,0.58999968
82,0.58999968,0.58999968
83,0.58999968,0.58999968
84,0.58999968,0.58999968
85,0.58999968,0.58999968
86,0.58999968,0.58999968
87,0.58999968,0.58999968
88,0.58999968,0.58999968
89,0.58999968,0.58999968
90,0.58999968,0.58999968
91,0.58999968,0.58999968
92,0.58999968,0.58999968
93,0.58999968,0.58999968
